ORFquery	contig	target	evalue	pvalue	n_aligned_positions	hmm_coverage
sample3_35_5	sample3_35	phrog_1698/PFAM:PF05616.12-minor-head-protein;-receptor-binding	1.8241471437535832e-124	4.836021059792108e-128	478	0.8505338078291815
sample3_383_2	sample3_383	phrog_1082/PFAM:PF02011.14-tail-assembly-protein	8.931935468396373e-118	2.367957441250364e-121	314	0.29594721960414705
sample3_21_5	sample3_21	phrog_221/PFAM:PF14582.5-metallo-phosphoesterase	2.5499670125653182e-114	6.760251889091511e-118	254	0.6920980926430518
sample3_14_18	sample3_14	phrog_85/PFAM:PF02511.14-thymidylate-synthase	2.3567328709655108e-111	6.247966253885236e-115	295	0.3406466512702079
sample3_24_13	sample3_24	phrog_318/PFAM:PF12917.6-deoxyribonucleoside-5'-monophosphate-phosphatase	4.1882256018576796e-111	1.1103461298668292e-114	178	0.6013513513513513
sample3_9_3	sample3_9	phrog_1879/PFAM:PF14265.5-head-scaffolding-protein	1.409093754236967e-104	3.735667429048162e-108	186	1.0
sample3_3_24	sample3_3	phrog_6015/PFAM:PF05037.12-single-strand-DNA-binding-protein	5.319113598813281e-103	1.4101573697808275e-106	272	0.9963369963369964
sample3_27_10	sample3_27	phrog_1879/PFAM:PF14265.5-head-scaffolding-protein	9.067301226819278e-102	2.4038444397718125e-105	186	1.0
sample3_18_1	sample3_18	phrog_1910/PFAM:PF09458.9-lectin	9.174965377866384e-102	2.4323874278542906e-105	155	0.5698529411764706
sample3_172_3	sample3_172	phrog_18953/PFAM:PF06006.11-tail-protein	2.930492311256055e-98	7.769067633234503e-102	192	0.8847926267281107
sample3_34_7	sample3_34	phrog_317/PFAM:PF00182.18-endolysin	1.1197080552832808e-97	2.96847310520488e-101	483	0.9817073170731707
sample3_16_5	sample3_16	phrog_114/PFAM:PF04675.13-ATP-dependent-DNA-ligase	4.720982217830116e-96	1.2515859538255876e-99	393	0.6198738170347003
sample3_103_4	sample3_103	phrog_1910/PFAM:PF09458.9-lectin	2.2045990935846378e-94	5.84464234778536e-98	137	0.5036764705882353
sample3_151_3	sample3_151	phrog_1786/PFAM:PF05954.10-minor-head-protein	1.0861260792913713e-89	2.8794434763822145e-93	144	0.11556982343499198
sample3_389_1	sample3_389	phrog_2710/PFAM:PF03906.13-tail-fiber-protein	8.09297736336308e-87	2.1455401281450374e-90	239	0.3060179257362356
sample3_206_1	sample3_206	phrog_681/PFAM:PF10544.8-endonuclease	1.4990875510384674e-86	3.974251195754155e-90	298	0.5173611111111112
sample3_8_14	sample3_8	phrog_2867/PFAM:PF06295.11-virion-structural-protein	9.404003792636677e-84	2.4931081104551105e-87	147	1.0
sample3_108_4	sample3_108	phrog_681/PFAM:PF10544.8-endonuclease	8.847028440211746e-82	2.3454476246584693e-85	381	0.6614583333333334
sample3_21_4	sample3_21	phrog_354/PFAM:PF17468.1-sigma-K-factor	9.974946358681421e-80	2.644471463065064e-83	214	0.9727272727272728
sample3_15_8	sample3_15	phrog_102/PFAM:PF08237.10-endolysin	1.2014505165251456e-77	3.1851816450825705e-81	265	0.7181571815718157
sample3_4_54	sample3_4	phrog_854/PFAM:PF01755.16-glucosyltransferase	1.1703097369512395e-76	3.102623904960868e-80	197	0.933649289099526
sample3_17_10	sample3_17	phrog_733/PFAM:PF10935.7-excisionase	2.182472952348084e-75	5.785983436765864e-79	146	0.43452380952380953
sample3_3_28	sample3_3	phrog_947/PFAM:PF02767.15-DNA-polymerase-processivity-factor	1.900109066716805e-74	5.037404736788985e-78	364	0.9891304347826086
sample3_6_39	sample3_6	phrog_768/PFAM:PF02481.14-DprA-like-DNA-recombination-mediator-protein	9.790061290530179e-73	2.5954563336506307e-76	185	0.9685863874345549
sample3_103_3	sample3_103	phrog_110/PFAM:PF14594.5-minor-tail-protein	2.694385976833054e-72	7.143122950246696e-76	216	0.3185840707964602
sample3_120_4	sample3_120	phrog_241/PFAM:PF06152.10-head-morphogenesis	1.3200066754376063e-70	3.4994874746490092e-74	210	0.30927835051546393
sample3_13_29	sample3_13	phrog_562/PFAM:PF09511.9-RNA-ligase-and-tail-fiber-protein-attachment-catalyst	5.096675018656861e-69	1.351186378222922e-72	323	0.8567639257294429
sample3_43_12	sample3_43	phrog_1384/PFAM:PF14236.5-Mom-like-DNA-modification-protein	1.5049385043271835e-68	3.9897627368164993e-72	181	0.7387755102040816
sample3_9_14	sample3_9	phrog_110/PFAM:PF14594.5-minor-tail-protein	1.5436584158455422e-68	4.0924136157092845e-72	204	0.3008849557522124
sample3_112_3	sample3_112	phrog_1517/PFAM:PF06995.10-endolysin	3.330553719413465e-67	8.829675820290203e-71	198	0.9801980198019802
sample3_9_11	sample3_9	phrog_4075/PFAM:PF17318.1-tail-assembly-chaperone	1.3679306015544862e-64	3.626539240600441e-68	95	0.4185022026431718
sample3_27_2	sample3_27	phrog_4075/PFAM:PF17318.1-tail-assembly-chaperone	1.5093729298255759e-64	4.001518901976606e-68	95	0.4185022026431718
sample3_243_1	sample3_243	phrog_1082/PFAM:PF02011.14-tail-assembly-protein	5.133886742162796e-63	1.3610516283570508e-66	243	0.2290292177191329
sample3_25_8	sample3_25	phrog_681/PFAM:PF10544.8-endonuclease	1.3900784334880198e-62	3.6852556561188226e-66	295	0.5121527777777778
sample3_21_15	sample3_21	phrog_478/PFAM:PF16475.4-site-specific-recombination-directionality-factor-RDF	6.63959192788786e-62	1.760231157976633e-65	129	1.0
sample3_5_38	sample3_5	phrog_1124/PFAM:PF13744.5-transcriptional-regulator	7.04456657293586e-62	1.867594531531246e-65	175	0.9887005649717514
sample3_7_30	sample3_7	phrog_4349/PFAM:PF10828.7-Rz-like-spanin	9.885068881747596e-62	2.6206439241112395e-65	142	1.0
sample3_340_2	sample3_340	phrog_5940/PFAM:PF17318.1-tail-assembly-chaperone	2.4723182284025884e-61	6.554396151650553e-65	88	0.9565217391304348
sample3_27_3	sample3_27	phrog_4075/PFAM:PF17318.1-tail-assembly-chaperone	3.03325886716402e-61	8.041513433626777e-65	97	0.42731277533039647
sample3_127_2	sample3_127	phrog_141/PFAM:PF07278.10-terminase-small-subunit	6.546767977679774e-60	1.7356224755248604e-63	173	0.9453551912568307
sample3_33_11	sample3_33	phrog_7686/PFAM:PF10805.7-Rz-like-spanin	6.159095046844558e-59	1.632845982726553e-62	112	1.0
sample3_21_6	sample3_21	phrog_1167/PFAM:PF07659.10-phosphofructokinase	1.1026411797600411e-58	2.9232268816544036e-62	163	0.9644970414201184
sample3_9_10	sample3_9	phrog_4075/PFAM:PF17318.1-tail-assembly-chaperone	1.620128518401491e-58	4.295144534468428e-62	97	0.42731277533039647
sample3_2_68	sample3_2	phrog_9236/PFAM:PF08761.10-pyrophosphatase	3.9286629519763717e-57	1.0415331261867369e-60	187	0.9790575916230366
sample3_3_21	sample3_3	phrog_229/PFAM:PF12643.6-MazG-like-pyrophosphatase	9.547866931088646e-57	2.531247860840044e-60	189	0.3545966228893058
sample3_91_5	sample3_91	phrog_704/PFAM:PF12850.6-DNA-repair-exonuclease	1.4914550667711407e-56	3.95401661392137e-60	172	0.441025641025641
sample3_45_2	sample3_45	phrog_1410/PFAM:PF06950.10-single-strand-DNA-binding-protein	1.6135985241855232e-55	4.277832778858757e-59	112	0.9911504424778761
sample3_16_17	sample3_16	phrog_139/PFAM:PF07931.11-deoxynucleoside-monophosphate-kinase	3.246634993733209e-55	8.607197756450713e-59	180	0.5263157894736842
sample3_74_1	sample3_74	phrog_2536/PFAM:PF10828.7-Rz-like-spanin	1.315170208794618e-54	3.486665452795912e-58	128	0.9922480620155039
sample3_230_2	sample3_230	phrog_396/PFAM:PF09931.8-minor-tail-protein	1.6454265567019715e-54	4.362212504512119e-58	163	0.9939024390243902
sample3_28_19	sample3_28	phrog_4349/PFAM:PF10828.7-Rz-like-spanin	3.025110437718118e-54	8.019911022582497e-58	142	1.0
sample3_8_25	sample3_8	phrog_4156/PFAM:PF10007.8-segregation-and-condensation-complex-subunit-ScpB	3.4860057028417245e-54	9.241796667130765e-58	102	1.0
sample3_43_2	sample3_43	phrog_63/PFAM:PF03374.13-anti-repressor-Ant	4.482784111137305e-54	1.1884369329632305e-57	263	0.6102088167053364
sample3_15_4	sample3_15	phrog_226/PFAM:PF05119.11-minor-tail-protein	6.100802319371254e-54	1.6173919192394628e-57	156	0.9936305732484076
sample3_13_30	sample3_13	phrog_2071/PFAM:PF01712.18-ATPase	4.072289675095345e-53	1.079610200184344e-56	131	0.4645390070921986
sample3_7_17	sample3_7	phrog_817/PFAM:PF06995.10-tail-fiber-protein	3.7481835208643566e-52	9.936859811411338e-56	182	0.91
sample3_44_2	sample3_44	phrog_155/PFAM:PF04404.11-Erf-like-ssDNA-annealing-protein	7.202441086741155e-52	1.9094488565061387e-55	213	0.6915584415584416
sample3_15_12	sample3_15	phrog_233/PFAM:PF14265.5-head-scaffolding-protein	7.681411195947133e-52	2.036429267218222e-55	160	0.9937888198757764
sample3_25_2	sample3_25	phrog_953/PFAM:PF13392.5-HNH-endonuclease	1.1122402749906065e-51	2.9486751722974722e-55	175	0.4166666666666667
sample3_1_15	sample3_1	phrog_5658/PFAM:PF03819.16-pyrophosphatase	6.999238778281154e-51	1.8555776188444204e-54	129	0.30641330166270786
sample3_7_35	sample3_7	phrog_5658/PFAM:PF03819.16-pyrophosphatase	3.42998326457654e-50	9.093274826554985e-54	106	0.2517814726840855
sample3_3_37	sample3_3	phrog_8233/PFAM:PF08809.10-tail-assembly-chaperone	5.981640718631684e-50	1.5858008267846457e-53	136	0.5018450184501845
sample3_11_21	sample3_11	phrog_1613/PFAM:PF10876.7-tail-assembly-chaperone	7.134688324921433e-50	1.8914868305730205e-53	134	0.9370629370629371
sample3_12_18	sample3_12	phrog_817/PFAM:PF06995.10-tail-fiber-protein	8.312324038176634e-50	2.2036914205134237e-53	189	0.945
sample3_16_27	sample3_16	phrog_2144/PFAM:PF03819.16-MazG-like-pyrophosphatase	8.575356787629024e-50	2.2734243869642164e-53	118	0.4068965517241379
sample3_9_20	sample3_9	phrog_443/PFAM:PF16945.4-holin	1.5443686649405871e-49	4.094296566650549e-53	120	0.9448818897637795
sample3_4_26	sample3_4	phrog_3469/PFAM:PF00717.22-UmuD-like-protein	1.0117794313466609e-48	2.6823420767408825e-52	105	0.9905660377358491
sample3_11_20	sample3_11	phrog_280/PFAM:PF11681.7-virion-structural-protein	1.3710346802143228e-48	3.6347685053401986e-52	137	0.958041958041958
sample3_4_39	sample3_4	phrog_101/PFAM:PF06892.10-CII-like-transcriptional-activator	3.144239121247414e-48	8.335734679871194e-52	147	0.7241379310344828
sample3_42_10	sample3_42	phrog_355/PFAM:PF09152.9-nucleoside-2-deoxyribosyltransferase	4.6267449052872204e-48	1.2266025729817658e-51	119	0.4779116465863454
sample3_14_17	sample3_14	phrog_3506/PFAM:PF02511.14-thymidylate-synthase	2.4473931514459344e-47	6.488316944448395e-51	113	0.9826086956521739
sample3_336_1	sample3_336	phrog_621/PFAM:PF17318.1-tail-assembly-chaperone	3.4086220651460025e-47	9.036643863059392e-51	144	0.782608695652174
sample3_34_8	sample3_34	phrog_526/PFAM:PF16081.4-holin	5.200784557012686e-47	1.378786998147584e-50	128	0.8951048951048951
sample3_4_17	sample3_4	phrog_890/PFAM:PF11008.7-lipoprotein	7.446813104575444e-47	1.9742346512660245e-50	135	0.9926470588235294
sample3_7_13	sample3_7	phrog_280/PFAM:PF11681.7-virion-structural-protein	1.7054849208856462e-45	4.5214340426448736e-49	140	0.9790209790209791
sample3_376_1	sample3_376	phrog_15210/PFAM:PF06295.11-lipoprotein	3.664752597395541e-45	9.715674966584148e-49	72	0.6371681415929203
sample3_12_13	sample3_12	phrog_280/PFAM:PF11681.7-virion-structural-protein	6.287840288015923e-45	1.666977807003161e-48	141	0.986013986013986
sample3_17_21	sample3_17	phrog_517/PFAM:PF00239.20-HTH-DNA-binding-protein	8.519122257622242e-45	2.2585159749793856e-48	127	0.9921875
sample3_8_10	sample3_8	phrog_2073/PFAM:PF05106.11-holin	1.953833208707473e-44	5.17983353315873e-48	101	0.9711538461538461
sample3_268_1	sample3_268	phrog_355/PFAM:PF09152.9-nucleoside-2-deoxyribosyltransferase	3.117489381598874e-43	8.264818084832646e-47	108	0.43373493975903615
sample3_391_2	sample3_391	phrog_1047/PFAM:PF10145.8-tail-associated-lysin	1.8335054529362005e-42	4.860830999300638e-46	147	0.11750599520383694
sample3_230_3	sample3_230	phrog_384/PFAM:PF05939.12-virion-structural-protein	1.893709071800181e-42	5.02043762407259e-46	179	0.455470737913486
sample3_12_12	sample3_12	phrog_280/PFAM:PF11681.7-virion-structural-protein	3.5483274404117986e-42	9.407018664930537e-46	141	0.986013986013986
sample3_6_33	sample3_6	phrog_1040/PFAM:PF00227.25-peptidase-HslV-family	6.076029249905926e-42	1.6108242974299908e-45	144	0.51985559566787
sample3_49_2	sample3_49	phrog_2680/PFAM:PF02924.13-head-decoration	1.7021652529197313e-41	4.5126332261922886e-45	128	0.9922480620155039
sample3_7_15	sample3_7	phrog_1613/PFAM:PF10876.7-tail-assembly-chaperone	3.179181601099023e-41	8.428371158799107e-45	137	0.958041958041958
sample3_21_23	sample3_21	phrog_357/PFAM:PF10078.8-transcriptional-repressor	3.905524959639353e-41	1.0353989818768169e-44	84	0.49411764705882355
sample3_7_14	sample3_7	phrog_280/PFAM:PF11681.7-virion-structural-protein	5.326209569337156e-41	1.412038592083021e-44	141	0.986013986013986
sample3_24_6	sample3_24	phrog_1300/PFAM:PF11112.7-excisionase	5.736012588526333e-41	1.52068202240889e-44	85	0.9883720930232558
sample3_278_3	sample3_278	phrog_1688/PFAM:PF10876.7-tail-assembly-chaperone	8.95658833522606e-40	2.3744931959772163e-43	136	0.9315068493150684
sample3_10_18	sample3_10	phrog_441/PFAM:PF12363.7-tail-assembly-chaperone	9.807027302954725e-40	2.5999542160537446e-43	106	0.41245136186770426
sample3_348_1	sample3_348	phrog_1143/PFAM:PF11637.7-DNA-helicase	6.794788453621416e-39	1.8013755179272045e-42	76	1.0
sample3_151_1	sample3_151	phrog_4070/PFAM:PF13406.5-tail-length-tape-measure-protein	2.0050535467932346e-38	5.315624461275807e-42	108	0.10920121334681497
sample3_3_20	sample3_3	phrog_13059/PFAM:PF10078.8-HTH-DNA-binding-protein	2.8198841926896597e-37	7.475832960470996e-41	62	1.0
sample3_4_50	sample3_4	phrog_1026/PFAM:PF10883.7-Rz-like-spanin	4.3494678135115184e-36	1.153093269753849e-39	80	0.9411764705882353
sample3_92_2	sample3_92	phrog_337/PFAM:PF06223.11-tail-protein	7.160020704033332e-35	1.8982027317161538e-38	70	0.5932203389830508
sample3_12_14	sample3_12	phrog_280/PFAM:PF11681.7-virion-structural-protein	6.410219034059058e-34	1.6994218011821468e-37	136	0.951048951048951
sample3_33_7	sample3_33	phrog_355/PFAM:PF09152.9-nucleoside-2-deoxyribosyltransferase	2.026883883307767e-33	5.373499160412956e-37	134	0.5381526104417671
sample3_1_25	sample3_1	phrog_1040/PFAM:PF00227.25-peptidase-HslV-family	8.156919813417816e-32	2.162491997194543e-35	151	0.5451263537906137
sample3_44_16	sample3_44	phrog_1821/PFAM:PF02467.15-transcriptional-regulator-WhiB-like	1.4736659312664635e-31	3.9068555972069555e-35	74	0.8314606741573034
sample3_8_23	sample3_8	phrog_7776/PFAM:PF08681.10-DNA-helicase	2.491156150368061e-31	6.604337620275877e-35	53	1.0
sample3_91_2	sample3_91	phrog_15027/PFAM:PF08809.10-tail-assembly-chaperone	2.976351995467656e-31	7.89064685967035e-35	87	0.3359073359073359
sample3_4_28	sample3_4	phrog_1266/PFAM:PF13986.5-excisionase	3.180486094754625e-31	8.431829519497945e-35	72	0.935064935064935
sample3_4_22	sample3_4	phrog_1119/PFAM:PF10973.7-Cor-superinfection-exclusion-protein	1.187805431678522e-30	3.1490069768783725e-34	63	0.8076923076923077
sample3_10_24	sample3_10	phrog_132/PFAM:PF05135.12-head-tail-adaptor	1.2303100630585095e-30	3.2616915775676286e-34	111	0.8951612903225806
sample3_5_21	sample3_5	phrog_1766/PFAM:PF09693.9-tail-fiber-protein	1.6550990642350886e-30	4.387855419499174e-34	115	0.905511811023622
sample3_44_9	sample3_44	phrog_289/PFAM:PF02481.14-GTP-binding-domain	3.974971238642074e-30	1.0538099784310907e-33	116	0.232
sample3_86_8	sample3_86	phrog_1185/PFAM:PF16262.4-nudix-hydrolase	7.568501013622432e-30	2.006495496718566e-33	67	0.22259136212624583
sample3_23_15	sample3_23	phrog_474/PFAM:PF07659.10-phosphofructokinase	9.682558797194062e-28	2.566956202861628e-31	93	0.33941605839416056
sample3_26_14	sample3_26	phrog_120/PFAM:PF10934.7-baseplate-wedge-subunit	1.340702345604287e-27	3.5543540445500716e-31	119	0.3927392739273927
sample3_2_13	sample3_2	phrog_120/PFAM:PF10934.7-baseplate-wedge-subunit	3.4597562444434945e-27	9.172206374452531e-31	124	0.40924092409240925
sample3_306_1	sample3_306	phrog_1326/PFAM:PF17318.1-tail-assembly-chaperone	1.1179387985872738e-26	2.963782604950355e-30	84	0.3169811320754717
sample3_17_5	sample3_17	phrog_404/PFAM:PF10874.7-minor-tail-protein	1.220147249017776e-26	3.234748804394952e-30	107	0.9067796610169492
sample3_278_2	sample3_278	phrog_280/PFAM:PF11681.7-virion-structural-protein	1.9939483049988418e-26	5.286183205193112e-30	129	0.9020979020979021
sample3_12_15	sample3_12	phrog_1613/PFAM:PF10876.7-tail-assembly-chaperone	5.918654566301258e-26	1.5691024831127407e-29	85	0.5944055944055944
sample3_60_3	sample3_60	phrog_233/PFAM:PF14265.5-head-scaffolding-protein	7.568498392086401e-25	2.0064948017196184e-28	160	0.9937888198757764
sample3_11_24	sample3_11	phrog_1517/PFAM:PF06995.10-endolysin	2.3213544643220063e-22	6.154174083568416e-26	153	0.7574257425742574
sample3_3_50	sample3_3	phrog_1026/PFAM:PF10883.7-Rz-like-spanin	2.4923564041612653e-21	6.607519629271647e-25	83	0.9764705882352941
sample3_1_33	sample3_1	phrog_1249/PFAM:PF09390.9-acetyltransferase	2.9335847019018786e-21	7.7772659117229015e-25	138	0.7666666666666667
sample3_467_1	sample3_467	phrog_15210/PFAM:PF06295.11-lipoprotein	8.146252786354244e-21	2.1596640472837338e-24	39	0.34513274336283184
sample3_3_53	sample3_3	phrog_462/PFAM:PF07889.11-lipoprotein	5.644929824704096e-20	1.4965349482248399e-23	89	0.8811881188118812
sample3_2_17	sample3_2	phrog_817/PFAM:PF06995.10-tail-fiber-protein	8.013709699256038e-20	2.1245253709586528e-23	134	0.67
sample3_1_65	sample3_1	phrog_47/PFAM:PF04735.11-DNA-primase	1.1371799468032279e-19	3.014793072118844e-23	288	0.3041182682154171
sample3_307_1	sample3_307	phrog_120/PFAM:PF10934.7-baseplate-wedge-subunit	1.323685737416685e-19	3.5092410854100877e-23	80	0.264026402640264
sample3_64_8	sample3_64	phrog_7080/PFAM:PF06673.10-major-head-protein	1.511147781499486e-19	4.0062242351524017e-23	40	0.12618296529968454
sample3_11_6	sample3_11	phrog_289/PFAM:PF02481.14-GTP-binding-domain	1.5580752879778837e-19	4.130634379580816e-23	238	0.476
sample3_10_14	sample3_10	phrog_18602/PFAM:PF10651.8-virion-structural-protein	1.6934217912838614e-18	4.489453317295497e-22	135	0.2818371607515658
sample3_97_3	sample3_97	phrog_1160/PFAM:PF11041.7-baseplate-protein	1.94256385836221e-18	5.149957206686664e-22	164	0.3106060606060606
sample3_431_2	sample3_431	phrog_635/PFAM:PF01510.24-endolysin	3.069466335536906e-18	8.137503540659878e-22	48	0.10367170626349892
sample3_2_38	sample3_2	phrog_424/PFAM:PF02677.13-phosphoadenosine-phosphosulfate-reductase	6.490271700211868e-17	1.7206446713180987e-20	183	0.3978260869565217
sample3_39_2	sample3_39	phrog_3995/PFAM:PF15910.4-tail-protein	6.074341036720462e-16	1.610376732958765e-19	119	0.40476190476190477
sample3_97_5	sample3_97	phrog_120/PFAM:PF10934.7-baseplate-wedge-subunit	6.529762914911655e-16	1.7311142404325702e-19	87	0.2871287128712871
sample3_112_1	sample3_112	phrog_59/PFAM:PF05551.10-HNH-endonuclease	2.1067450877319034e-13	5.585220275005046e-17	77	0.18203309692671396
sample3_18_3	sample3_18	phrog_670/PFAM:PF01510.24-endolysin	4.4162481685831377e-13	1.1707974996243737e-16	76	0.12751677852348994
sample3_5_45	sample3_5	phrog_803/PFAM:PF04936.11-host-nuclease-inhibitor	1.5656425439009462e-12	4.1506960336716495e-16	54	0.46153846153846156
sample3_28_22	sample3_28	phrog_158/PFAM:PF16461.4-major-tail-protein	4.570039912146271e-12	1.2115694358818323e-15	104	0.2765957446808511
sample3_9_19	sample3_9	phrog_670/PFAM:PF01510.24-endolysin	5.909988266265023e-12	1.5668049486386592e-15	72	0.12080536912751678
sample3_24_17	sample3_24	phrog_3/PFAM:PF13744.5-transcriptional-repressor	8.810902455096936e-12	2.3358702160914464e-15	76	0.17674418604651163
sample3_174_1	sample3_174	phrog_754/PFAM:PF12810.6-minor-tail-protein	9.16521594465276e-12	2.429802742484825e-15	87	0.2676923076923077
sample3_5_13	sample3_5	phrog_41/PFAM:PF16461.4-major-tail-protein	3.782559001595964e-11	1.0027993111336066e-14	79	0.3224489795918367
sample3_5_7	sample3_5	phrog_1539/PFAM:PF08198.10-Arc-like-repressor	3.895613106304948e-11	1.0327712370903891e-14	38	0.3958333333333333
sample3_1_49	sample3_1	phrog_1076/PFAM:PF09862.8-FmdB-like-transcriptional-regulator	3.234158486109383e-10	8.57412111905987e-14	74	0.2182890855457227
sample3_27_14	sample3_27	phrog_226/PFAM:PF05119.11-minor-tail-protein	1.5189199009906658e-09	4.0268290058077037e-13	74	0.4713375796178344
sample3_114_3	sample3_114	phrog_226/PFAM:PF05119.11-minor-tail-protein	2.642315017201038e-09	7.005076927892466e-13	75	0.47770700636942676
sample3_225_2	sample3_225	phrog_795/PFAM:PF16777.4-partition-protein-ATPase	4.931297119081658e-09	1.3073428205412667e-12	45	0.3879310344827586
sample3_2_20	sample3_2	phrog_280/PFAM:PF11681.7-virion-structural-protein	1.671809097025455e-08	4.432155612474695e-12	88	0.6153846153846154
sample3_224_1	sample3_224	phrog_280/PFAM:PF11681.7-virion-structural-protein	2.511770898633683e-08	6.658989657035214e-12	28	0.1958041958041958
sample3_18_5	sample3_18	phrog_3512/PFAM:PF07638.10-sigma-factor	1.4835091970773796e-07	3.932951211763997e-11	95	0.7307692307692307
sample3_2_61	sample3_2	phrog_2439/PFAM:PF06114.12-transcriptional-regulator	2.1877183822732378e-07	5.7998896666840875e-11	55	0.14986376021798364
sample3_22_1	sample3_22	phrog_1985/PFAM:PF05315.10-HNH-endonuclease	2.396557175122395e-07	6.353545002975597e-11	27	0.14673913043478262
sample3_23_9	sample3_23	phrog_15471/PFAM:PF05551.10-HNH-endonuclease	2.7831859716969205e-07	7.378541812558114e-11	59	0.3224043715846995
sample3_2_44	sample3_2	phrog_876/PFAM:PF03869.13-transcriptional-repressor	8.323988275864635e-07	2.2067837422758842e-10	50	0.20920502092050208
sample3_212_2	sample3_212	phrog_502/PFAM:PF06341.10-membrane-protein	1.7130751262033725e-06	4.541556538184975e-10	53	0.9137931034482759
sample3_256_1	sample3_256	phrog_59/PFAM:PF05551.10-HNH-endonuclease	1.8752459525482972e-06	4.971489799968974e-10	51	0.12056737588652482
sample3_108_3	sample3_108	phrog_979/PFAM:PF03354.14-terminase-large-subunit	1.8990291406145599e-06	5.034541730155249e-10	82	0.1277258566978193
sample3_12_22	sample3_12	phrog_120/PFAM:PF10934.7-baseplate-wedge-subunit	2.416396836566983e-06	6.406142196625088e-10	56	0.1848184818481848
sample3_85_2	sample3_85	phrog_1193/PFAM:PF10779.8-hemolysin	4.558610490595081e-06	1.2085393665416438e-09	47	0.618421052631579
sample3_9_22	sample3_9	phrog_3512/PFAM:PF07638.10-sigma-factor	4.886806885327294e-06	1.295547954752729e-09	85	0.6538461538461539
sample3_1_50	sample3_1	phrog_1804/PFAM:PF17061.4-Rz-like-spanin	6.958851680754137e-06	1.8448705410270777e-09	125	0.9191176470588235
sample3_1_7	sample3_1	phrog_142/PFAM:PF04079.15-Ren-like-exclusion-protein	8.21628893077923e-06	2.1782314238545148e-09	55	0.47413793103448276
sample3_2_27	sample3_2	phrog_563/PFAM:PF11133.7-virion-structural-protein	1.0854813053283147e-05	2.877734107445161e-09	139	0.8034682080924855
sample3_3_17	sample3_3	phrog_409/PFAM:PF10078.8-transcriptional-regulator	1.4448012022691737e-05	3.8303319254219876e-09	69	0.5433070866141733
sample3_10_32	sample3_10	phrog_36/PFAM:PF05263.10-transcriptional-regulator	1.8583697834436888e-05	4.9267491607733e-09	29	0.1318181818181818
sample3_8_5	sample3_8	phrog_739/PFAM:PF10828.7-Rz-like-spanin	1.8901801178703445e-05	5.011081966782462e-09	91	0.7459016393442623
sample3_42_6	sample3_42	phrog_66/PFAM:PF10013.8-excisionase-and-transcriptional-regulator	1.96542192210724e-05	5.210556527325662e-09	54	0.13106796116504854
sample3_8_20	sample3_8	phrog_95/PFAM:PF00239.20-integrase	2.5275609069903478e-05	6.700850760843976e-09	148	0.22734254992319508
sample3_1_5	sample3_1	phrog_10477/PFAM:PF07083.10-exonuclease	2.563328201323313e-05	6.795673916551731e-09	99	0.4074074074074074
sample3_21_28	sample3_21	phrog_12300/PFAM:PF07282.10-transposase	5.811895876587214e-05	1.5407995431037153e-08	51	0.17832167832167833
sample3_2_63	sample3_2	phrog_378/PFAM:PF05037.12-single-strand-DNA-binding-protein	0.0010083033853832066	2.6731266844729763e-07	146	0.8957055214723927
sample3_7_29	sample3_7	phrog_9987/PFAM:PF04531.12-holin	0.0015365905379680785	4.07367586948059e-07	57	0.8260869565217391
